Cycle,Length (mm)
818,13.5493681137899
819,13.5549310967924
820,13.56049871304
821,13.5660709757111
822,13.5716478979889
823,13.5772294930604
824,13.5828157741173
825,13.588406754355
826,13.594002446973
827,13.5996028651748
828,13.6052080221672
829,13.6108179311609
830,13.6164326053701
831,13.622052058012
832,13.6276763023073
833,13.6333053514799
834,13.6389392187564
835,13.6445779173666
836,13.6502214605428
837,13.6558698615201
838,13.6615231335361
839,13.6671812898307
840,13.6728443436465
841,13.6785123082277
842,13.6841851968211
843,13.6898630226753
844,13.6955457990406
845,13.7012335391693
846,13.7069262563152
847,13.7126239637337
848,13.7183266746816
849,13.724034402417
850,13.7297471601992
851,13.7354649612887
852,13.7411878189469
853,13.7469157464361
854,13.7526487570194
855,13.7583868639607
856,13.7641300805243
857,13.769878419975
858,13.7756318955782
859,13.7813905205993
860,13.787154308304
861,13.792923271958
862,13.7986974248272
863,13.804476780177
864,13.8102613512729
865,13.81605115138
866,13.8218461937628
867,13.8276464916855
868,13.8334520584116
869,13.8392629072038
870,13.8450790513243
871,13.850900504034
872,13.8567272785931
873,13.8625593882606
874,13.8683968462943
875,13.8742396659508
876,13.8800878604853
877,13.8859414431515
878,13.8918004272017
879,13.8976648258864
880,13.9035346524546
881,13.9094099201531
882,13.9152906422273
883,13.9211768319201
884,13.9270685024728
885,13.9329656671243
886,13.9388683391112
887,13.9447765316679
888,13.9506902580263
889,13.956609531416
890,13.9625343650637
891,13.9684647721937
892,13.9744007660275
893,13.9803423597836
894,13.9862895666779
895,13.992242399923
896,13.9982008727287
897,14.0041649983015
898,14.0101347898447
899,14.0161102605583
900,14.022091423639
901,14.02807829228
902,14.0340708796709
903,14.0400691989977
904,14.0460732634429
905,14.0520830861851
906,14.0580986803991
907,14.0641200592557
908,14.070147235922
909,14.0761802235607
910,14.0822190353307
911,14.0882636843864
912,14.0943141838784
913,14.1003705469525
914,14.1064327867504
915,14.1125009164092
916,14.1185749490616
917,14.1246548978356
918,14.1307407758545
919,14.136832596237
920,14.142930372097
921,14.1490341165433
922,14.1551438426803
923,14.1612595636068
924,14.1673812924169
925,14.1735090421997
926,14.1796428260388
927,14.1857826570128
928,14.191928548195
929,14.1980805126531
930,14.2042385634499
931,14.2104027136421
932,14.2165729762815
933,14.2227493644137
934,14.2289318910793
935,14.2351205693126
936,14.2413154121426
937,14.2475164325922
938,14.2537236436787
939,14.2599370584133
940,14.2661566898012
941,14.2723825508418
942,14.2786146545282
943,14.2848530138475
944,14.2910976417806
945,14.2973485513022
946,14.3036057553807
947,14.3098692669781
948,14.3161390990503
949,14.3224152645464
950,14.3286977764094
951,14.3349866475755
952,14.3412818909745
953,14.3475835195297
954,14.3538915461575
955,14.3602059837677
956,14.3665268452636
957,14.3728541435413
958,14.3791878914904
959,14.3855281019935
960,14.3918747879264
961,14.398227962158
962,14.40458763755
963,14.4109538269572
964,14.4173265432274
965,14.4237057992012
966,14.4300916077122
967,14.4364839815867
968,14.4428829336438
969,14.4492884766954
970,14.4557006235462
971,14.4621193869934
972,14.468544779827
973,14.4749768148297
974,14.4814155047765
975,14.4878608624351
976,14.4943129005659
977,14.5007716319216
978,14.5072370692474
979,14.5137092252809
980,14.5201881127521
981,14.5266737443836
982,14.53316613289
983,14.5396652909784
984,14.5461712313483
985,14.5526839666913
986,14.5592035096914
987,14.5657298730245
988,14.5722630693591
989,14.5788031113556
990,14.5853500116666
991,14.591903782937
992,14.5984644378035
993,14.6050319888952
994,14.611606448833
995,14.61818783023
996,14.6247761456912
997,14.6313714078138
998,14.6379736291868
999,14.6445828223912
1000,14.651199
1001,14.6578221745782
1002,14.6644523586825
1003,14.6710895648617
1004,14.6777338056564
1005,14.6843850935992
1006,14.6910434412143
1007,14.6977088610181
1008,14.7043813655186
1009,14.7110609672156
1010,14.7177476786008
1011,14.7244415121577
1012,14.7311424803617
1013,14.7378505956797
1014,14.7445658705707
1015,14.7512883174853
1016,14.7580179488658
1017,14.7647547771463
1018,14.7714988147528
1019,14.7782500741029
1020,14.7850085676058
1021,14.7917743076629
1022,14.7985473066667
1023,14.805327577002
